"gram","mon_freq","chn_freq"
"eyu",0,8.37681760832836e-05
"ez ",0,1.15986705346085e-05
"eza",0,1.28874117051206e-06
"eze",0,7.73244702307233e-06
"ezh",0.000131963116308992,0.00186351973256043
"ezi",0,6.31483173550907e-05
"ezu",0,1.93311175576808e-05
"f a",0,1.28874117051206e-06
"f c",0,1.28874117051206e-06
"f d",0,5.15496468204822e-06
"f f",0,1.28874117051206e-06
"f h",0,6.44370585256028e-06
"f k",0,1.28874117051206e-06
"f p",0,2.57748234102411e-06
"f q",0,6.44370585256028e-06
"f r",0,1.28874117051206e-06
"f s",0,1.28874117051206e-05
"f t",0,1.28874117051206e-06
"f x",0,1.28874117051206e-06
"f z",0,1.28874117051206e-06
"fab",0,1.28874117051206e-06
"fac",0,5.15496468204822e-06
"fad",0,3.86622351153617e-06
"fag",0,6.44370585256028e-06
"fah",0,1.28874117051206e-06
"faj",0,3.86622351153617e-06
"fak",0,1.28874117051206e-06
"fal",0,5.15496468204822e-06
"fam",0,5.15496468204822e-06
"fan",0,0.00316901453828914
"faq",0,2.57748234102411e-06
"far",0,1.28874117051206e-06
"fas",0,9.02118819358439e-06
"fat",0,3.86622351153617e-06
"faw",0,3.86622351153617e-06
"fax",0,1.28874117051206e-06
"fay",0,9.02118819358439e-06
"faz",0,6.44370585256028e-06
"fe ",0,2.06198587281929e-05
"fec",0,1.28874117051206e-06
"fei",0,6.57257996961148e-05
"fen",3.29907790772479e-05,0.00211740174315131
"ffi",0,1.28874117051206e-06
"fi ",0,2.57748234102411e-06
"fin",0,3.86622351153617e-06
"fit",0,9.02118819358439e-06
"fla",0,1.28874117051206e-06
"flo",0,6.44370585256028e-06
"fo ",0,5.15496468204822e-06
"foa",0,2.57748234102411e-06
"fob",0,2.57748234102411e-06
"foc",0,1.54648940461447e-05
"fod",0,2.3197341069217e-05
"foe",0,1.28874117051206e-06
"fog",0,1.80423763871688e-05
"foh",0,1.28874117051206e-06
"foj",0,3.86622351153617e-06
"fok",0,3.86622351153617e-06
"fol",0,7.73244702307233e-06
"fom",0,3.86622351153617e-06
"fop",0,7.73244702307233e-06
"for",0,9.02118819358439e-06
"fos",0,6.70145408666269e-05
"fot",0,4.51059409679219e-05
"fou",0,1.15986705346085e-05
"fow",0,2.57748234102411e-06
"fox",0,1.28874117051206e-06
"foy",0,2.83523057512652e-05
"foz",0,1.41761528756326e-05
"fto",0,1.28874117051206e-06
"ftw",0,1.28874117051206e-06
"fua",0,1.15986705346085e-05
"fub",0,7.73244702307233e-06
