"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification date"
2029382,"Shanagan Höövöriyn Hudag","Shanagan Hoovoriyn Hudag","Sha-na-ken-huo-pu-jen-hu-tu-ko,Shanagan Hoovoriyn Hudag,Shanagan Höövöriyn Hudag",44.45,111.43333,"H","WLL","MN","MN",7,NA,NA,NA,0,NA,1057,"Asia/Ulaanbaatar","2012-01-17"
2029383,"Sha-la-tan-ken-hao-lai","Sha-la-tan-ken-hao-lai","Sha-la-tan-ken-hao-lai,Shaldangiyn Hooloy",43.41667,111.33333,"H","RVN","MN","CN",0,NA,NA,NA,0,NA,1168,"Asia/Ulaanbaatar","2014-03-06"
2029384,"Sha Del Uul","Sha Del Uul","Sha Del Uul,Sha-erh-te-le-wu-la",42.45,107.95,"T","MT","MN","MN",14,NA,NA,NA,0,NA,1171,"Asia/Ulaanbaatar","2012-01-17"
2029385,"Shadablingi Hiid","Shadablingi Hiid","Shadablingi Hiid,Shadablingi-Khid,Shaddbling Khid",48.01667,106.9,"P","PPL","MN","MN",20,NA,NA,NA,0,NA,1527,"Asia/Ulaanbaatar","2012-01-17"
2029386,"Shabi Hural","Shabi Hural","Shabi Hural,Shabi Khural,Shabo-Khural",43.1,108.61667,"P","PPL","MN","MN",7,NA,NA,NA,0,NA,1116,"Asia/Ulaanbaatar","2012-01-17"
2029387,"Shabartua Nuur","Shabartua Nuur","",48.76667,115.93333,"H","LK","MN","",6,NA,NA,NA,0,NA,683,"Asia/Choibalsan","1994-01-14"
2029388,"Shabar Tologoy Nuur","Shabar Tologoy Nuur","",44.81667,110.9,"H","LKI","MN","",7,NA,NA,NA,0,NA,943,"Asia/Ulaanbaatar","1994-01-14"
2029389,"Shabar Tologoy","Shabar Tologoy","",44.85,111.08333,"T","MT","MN","",7,NA,NA,NA,0,NA,966,"Asia/Ulaanbaatar","1994-01-14"
2029390,"Shabartay Nuur","Shabartay Nuur","Ozero Shabarte-nur,Ozero Shavarte nur,Shabartay Nuur,Shabaruda Mizu-umi,Shabarudā Mizu-umi,Shabaruta Mizu-umi,Shabarutā Mizu-umi,Shavarshe-Nuur",49.86667,116.45,"H","LK","MN","MN",6,NA,NA,NA,0,NA,625,"Asia/Choibalsan","2012-01-17"
2029391,"Shabartayn Hiid","Shabartayn Hiid","Shabartayn Hiid,Shabartuin Khid",48.66667,105.13333,"P","PPL","MN","MN",16,NA,NA,NA,0,NA,998,"Asia/Ulaanbaatar","2012-01-17"
2029392,"Shabartayn Dugang","Shabartayn Dugang","Shabartayn Dugang,Shabartayn-Dugan,Shabartyn-Dugun,Shibertuin dugang",49.55,105.5,"P","PPL","MN","MN",16,NA,NA,NA,0,NA,885,"Asia/Ulaanbaatar","2012-01-17"
2029393,"Shabartayn Dugang","Shabartayn Dugang","Shabartayn Dugang,Shibartuin dugang,Shibertuin dugang,Shibertuin-Dugan",48.93333,106.73333,"P","PPL","MN","MN",16,NA,NA,NA,0,NA,1048,"Asia/Ulaanbaatar","2012-01-17"
2029394,"Shabartayn Dugang","Shabartayn Dugang","Shabartain dugang,Shabartan Dugang,Shabartayn Dugang,Shabertayn Dugang",47.71667,108.8,"P","PPL","MN","MN",11,NA,NA,NA,0,NA,1768,"Asia/Ulaanbaatar","2012-01-17"
2029395,"Shabartay","Shabartay","Reka Shabartu gol,Shabartay,Shabarte,Shabartu Gol",48.46667,106.16667,"H","STM","MN","MN",18,NA,NA,NA,0,NA,1217,"Asia/Ulaanbaatar","2012-01-17"
2029396,"Shabarta Gol","Shabarta Gol","Hsieh-pu-erh-ko-erh Ho,Reka Shaburto,Shabarta Gol,Shabarto-gol,Shabarty-gol,Shabartö-gol,Shabur-gol,Shaburu-goru Ho",49.41667,104.05,"H","STM","MN","MN",21,NA,NA,NA,0,NA,912,"Asia/Ulaanbaatar","2012-01-17"
2029397,"Shabarta","Shabarta","Shabarta,Shabartu",49.76667,107.16667,"P","PPL","MN","MN",16,NA,NA,NA,0,NA,893,"Asia/Ulaanbaatar","2012-01-17"
2029398,"Shabar Jirgalanta","Shabar Jirgalanta","Shabar Jirgalanta,Shabarchzhargalanta Reservation,Shabarchzhargalanta Tract,Urochishche Shabarchzhargalanta",47.2,113.61667,"L","AREA","MN","MN",17,NA,NA,NA,0,NA,940,"Asia/Choibalsan","2012-01-17"
2029399,"Shabariin Uula","Shabariin Uula","Gora Shabarin ukha,Shabariin Uula,Shabarin ula Gora",46.9,114.45,"T","MT","MN","MN",17,NA,NA,NA,0,NA,940,"Asia/Choibalsan","2012-01-17"
2029400,"Shabariin Hashaata","Shabariin Hashaata","",46.95,114.41667,"L","AREA","MN","",17,NA,NA,NA,0,NA,840,"Asia/Choibalsan","1994-01-14"
2029401,"Shabagta","Shabagta","Shabagta,Shabokhta Tract,Urochishche Shabokhta",44.21667,107.31667,"L","AREA","MN","MN",14,NA,NA,NA,0,NA,1134,"Asia/Ulaanbaatar","2012-01-17"
2029402,"Shabagatay Uula","Shabagatay Uula","Gora Shabagtay ula,Shabagatay Uul,Shabagatay Uula",45.25,106.03333,"T","MT","MN","MN",8,NA,NA,NA,0,NA,1392,"Asia/Ulaanbaatar","2012-01-17"
