"gram","mon_freq","chn_freq"
" ut",1.6495389538624e-05,0
" uy",1.6495389538624e-05,0
" uz",0.000131963116308992,0
" va",4.94861686158719e-05,0
" vu",1.6495389538624e-05,0
" ya",0.000197944674463487,0.000161092646314007
" zh",0.000923741814162941,0.000444615703826659
" zi",1.6495389538624e-05,1.41761528756326e-05
"a  ",3.29907790772479e-05,2.57748234102411e-06
"a a",0.000478366296620095,3.60847527743376e-05
"a b",0.00176500668063276,5.67046115025304e-05
"a c",0.000593834023390462,7.73244702307233e-05
"a d",0.00135262194216716,0.000119852928857621
"a e",0.000379393959388351,2.3197341069217e-05
"a g",0.00181449284924863,0.000228107187180634
"a h",0.00473417679758507,0.000292544245706237
"a j",9.89723372317437e-05,5.92820938435546e-05
"a k",0.000197944674463487,5.15496468204822e-06
"a m",0.000412384738465599,3.60847527743376e-05
"a n",0.00296917011695231,5.02609056499702e-05
"a o",0.00209491447140524,6.44370585256028e-06
"a p",3.29907790772479e-05,2.70635645807532e-05
"a q",0.000593834023390462,8.76343995948198e-05
"a s",0.00186397901786451,0.00037631242178952
"a t",0.00252379459940946,5.28383879909943e-05
"a u",0.00501459841974168,2.57748234102411e-06
"a v",6.59815581544958e-05,1.28874117051206e-06
"a z",0.000247430843079359,8.63456584243077e-05
"aa ",0.000247430843079359,2.57748234102411e-06
"aab",1.6495389538624e-05,2.57748234102411e-06
"aad",1.6495389538624e-05,0
"aag",0.000461870907081471,0
"aah",3.29907790772479e-05,0
"aaj",1.6495389538624e-05,0
"aal",0.000148458505847616,0
"aam",4.94861686158719e-05,0
"aao",3.29907790772479e-05,5.15496468204822e-06
"aaq",8.24769476931198e-05,0
"aar",9.89723372317437e-05,0
"aas",0.000511357075697343,0
"aat",0.00130313577355129,1.28874117051206e-06
"aav",1.6495389538624e-05,0
"aaz",8.24769476931198e-05,0
"ab ",8.24769476931198e-05,1.67536352166567e-05
"aba",0.00225986836679148,0.000317030327945966
"abc",0.000230935453540735,0
"abd",0.000197944674463487,0
"abg",1.6495389538624e-05,0
"abh",8.24769476931198e-05,0
"abi",0.000197944674463487,9.15006231063559e-05
"abl",3.29907790772479e-05,0
"abq",0.000181449284924863,0
"abs",4.94861686158719e-05,0
"abt",0.000115467726770368,0
"ac ",3.29907790772479e-05,9.02118819358439e-06
"ad ",0.00016495389538624,3.22185292628014e-05
"ada",0.00115467726770368,0.000266769422295996
"adc",8.24769476931198e-05,0
"adg",0.000131963116308992,0
"adh",3.29907790772479e-05,0
"adm",3.29907790772479e-05,0
"adr",6.59815581544958e-05,0
"adt",1.6495389538624e-05,1.28874117051206e-06
"aer",0.00113818187816505,7.73244702307233e-05
"af ",0.000181449284924863,3.86622351153617e-06
"ag ",0.00115467726770368,5.15496468204822e-06
"aga",0.00735694373422628,0.000264191939954971
"agb",1.6495389538624e-05,0
"agc",6.59815581544958e-05,0
"agd",4.94861686158719e-05,0
"agi",0.00232584992494598,1.28874117051206e-06
"agl",1.6495389538624e-05,0
"agn",4.94861686158719e-05,0
"ags",0.000115467726770368,1.28874117051206e-06
"agt",0.000247430843079359,0
"agz",1.6495389538624e-05,0
"ah ",0.000181449284924863,2.44860822397291e-05
"aha",0.000593834023390462,0.00017526879918964
"ahh",1.6495389538624e-05,0
"ahi",0.000824769476931198,0
"ahr",1.6495389538624e-05,0
"ahs",3.29907790772479e-05,1.28874117051206e-06
"aht",1.6495389538624e-05,0
"ai ",0.0027547300529502,9.02118819358439e-06
"aie",0.000379393959388351,1.80423763871688e-05
"aii",3.29907790772479e-05,0
"ain",9.89723372317437e-05,7.21695055486751e-05
"aio",1.6495389538624e-05,1.28874117051206e-06
"air",0.000461870907081471,6.9592023207651e-05
"aj ",8.24769476931198e-05,3.86622351153617e-06
"aja",6.59815581544958e-05,0
"aje",0.000131963116308992,0
"aju",0.000197944674463487,5.79933526730425e-05
"ak ",6.59815581544958e-05,0
"aka",0.000445375517542847,4.6394682138434e-05
"akb",1.6495389538624e-05,0
"ake",0.000263926232617983,5.02609056499702e-05
"akg",1.6495389538624e-05,0
"akh",8.24769476931198e-05,0
