"id","group","geonameid","name","asciiname","alternatenames","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification.date","longitude","latitude"
818,6,2031343,"gachuurT","Gachuurt","Gachuunt","P","PPL","MN","MN",18,NA,NA,NA,0,NA,1346,"Asia/Ulaanbaatar","2007-10-14",107.128324371714,47.8645463786775
819,5,2031352,"eringiinduganG","Eringiin Dugang","Dugun-Iringin,Eringiin Dugang,Eringin Dugang,Eringiyn Dugan","P","PPL","MN","MN",21,NA,NA,NA,0,NA,1112,"Asia/Ulaanbaatar","2012-01-17",102.638487487406,50.0839998943719
820,6,2031353,"erigtsegiinörtöÖ","Erigtsegiin Ortoo","Erigtsegiin Ortoo,Erigtsegiin Örtöö,Erigtsegin Urto","P","PPL","MN","MN",17,NA,NA,NA,0,NA,930,"Asia/Choibalsan","2012-01-17",115.369982067818,46.1155289572088
821,6,2031363,"ergineghiyD","Ergineg-Hiyd","","P","PPL","MN","",18,NA,NA,NA,0,NA,1315,"Asia/Ulaanbaatar","1994-01-14",108.053879021909,46.9035992703046
822,6,2031364,"ergineghiiD","Ergineg Hiid","Ergineg Hiid,Irgeneg Khid","P","PPL","MN","MN",18,NA,NA,NA,0,NA,1375,"Asia/Ulaanbaatar","2012-01-17",108.053834220647,46.9369260527268
823,5,2031366,"ergiliinduganG","Ergiliin Dugang","Ergiliin Dugang,Ergilyyn dugang","P","PPL","MN","MN",21,NA,NA,NA,0,NA,799,"Asia/Ulaanbaatar","2012-01-17",104.401807280814,49.4641220271225
824,6,2031369,"erensumA","Eren Suma","Egen Somon,Erdeni Somon,Eren,Eren Somon,Eren Suma,Ihe Erien,Ihe Erien Sumu,Ikhe Eren","P","PPL","MN","MN",8,NA,NA,NA,0,NA,1139,"Asia/Ulaanbaatar","2012-01-17",108.438487354657,45.8543895086507
825,11,2031375,"ereentsaV","Ereentsav","Chulun-Khorot,Chuluunhoroot,Ereentsav,Чулун-Хорот","P","PPL","MN","MN",6,NA,NA,NA,0,NA,784,"Asia/Choibalsan","2012-01-17",114.265037297684,49.6468860597375
826,8,2031386,"erdeniwangiinhüryeE","Erdeni Wangiin Huryee","Erdeni Wangiin Huryee,Erdeni Wangiin Hüryee,Erdeni-Wangiin-Huree,Erdeni-vangin khure,Erdyn-van-khure,Erton-Van-Khure,Ertön-Van-Khure","P","PPL","MN","MN",16,NA,NA,NA,0,NA,677,"Asia/Ulaanbaatar","2012-01-17",105.384150024273,49.8491949756857
827,6,2031395,"erdenihudaG","Erdeni Hudag","Erdeni Hudag,Erdeni Khuduk,Erdenii-Hudag","P","PPL","MN","MN",18,NA,NA,NA,0,NA,1425,"Asia/Ulaanbaatar","2012-01-17",106.587600016578,47.0011050877944
